,Date,Media Sources,Compound,Positive,Negative,Neutral,Tweet,Tweets Ago
0,Sat Jun 09 11:52:31 +0000 2018,@BBC,-0.296,0.0,0.905,0.095,"can we all decide to tag @CNN @BBC whenever the issue of SARS arises? 
Because @channelstv and @NTANewsNow no one d… https://t.co/PQ48PmR1OQ",1
1,Sat Jun 09 11:52:17 +0000 2018,@BBC,-0.8402,0.0,0.679,0.321,"RT @BBC: 😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉 https://t.co/mSp3E6…",2
2,Sat Jun 09 11:51:51 +0000 2018,@BBC,-0.2732,0.086,0.784,0.129,RT @SteveLawrence_: John Humphrys patronisingly admits that the @BBC has failed in its duty to inform the public on Brexit. Maybe @BBCr4tod…,3
3,Sat Jun 09 11:51:50 +0000 2018,@BBC,0.0772,0.064,0.936,0.0,"@SteveLawrence_ @BBC @BBCr4today Mate. Look closer to home. Incidentally, the Art 50 challenge is due to be heard o… https://t.co/IiHi4mrxqp",4
4,Sat Jun 09 11:51:33 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 😆 @Channing Tatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",5
5,Sat Jun 09 11:51:28 +0000 2018,@BBC,-0.2732,0.086,0.784,0.129,RT @SteveLawrence_: John Humphrys patronisingly admits that the @BBC has failed in its duty to inform the public on Brexit. Maybe @BBCr4tod…,6
6,Sat Jun 09 11:51:13 +0000 2018,@BBC,-0.7096,0.0,0.772,0.228,"RT @Naijadailyfeed: This is the new way SARS (Special anti robbery squad) rob Nigerians. We need assistance
#EndSARS @AJStream @CNN @BBC @A…",7
7,Sat Jun 09 11:50:49 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @WECF_INT: #FeministFriday suggestion: have you seen that @BBC have a programme called #HearHer, where they collect women's voices acros…",8
8,Sat Jun 09 11:50:01 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"""There’s a logic to this seething mass of bodies, though it might not be visible to outsiders. This logic keeps fan… https://t.co/HUVHXmD7fB",9
9,Sat Jun 09 11:49:49 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",10
10,Sat Jun 09 11:49:42 +0000 2018,@BBC,0.6369,0.219,0.781,0.0,@soapachu @BBC Totally the 2012 Opening Ceremony. One of the best things we've ever put on.,11
11,Sat Jun 09 11:48:48 +0000 2018,@BBC,0.3818,0.163,0.736,0.101,RT @milly4red: #FreeSisikuAyukTabe #freeourleaders. They led our fight for freedom &amp; were captured by @Mbuhari on 1/5/18 &amp; vanished into th…,12
12,Sat Jun 09 11:48:46 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,13
13,Sat Jun 09 11:48:29 +0000 2018,@BBC,0.0,0.0,1.0,0.0,@GStarFreedom @am_draper @Fenbeagle @mike8881 @Lin46222208 @Karenco30 @MrNobodeee @jenninemorgan @loriblue6… https://t.co/zEzQdEqhUK,14
14,Sat Jun 09 11:48:24 +0000 2018,@BBC,0.0,0.0,1.0,0.0,@Fenbeagle @mike8881 @Lin46222208 @Karenco30 @GStarFreedom @MrNobodeee @jenninemorgan @am_draper @loriblue6… https://t.co/9Dtv3Qeglg,15
15,Sat Jun 09 11:48:14 +0000 2018,@BBC,-0.5267,0.102,0.631,0.267,"@BryanEastwood2 No Mention of Immigration.
It's all 'failure to build' is it?
Imagine my surprise @BBC",16
16,Sat Jun 09 11:48:09 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,17
17,Sat Jun 09 11:47:55 +0000 2018,@BBC,-0.5859,0.0,0.648,0.352,@callmejustsean @RTUKnews @Conservatives @BBC @SkyNews Because it’s bullshit,18
18,Sat Jun 09 11:47:32 +0000 2018,@BBC,-0.25,0.0,0.92,0.08,"RT @jizlee: ""It would be rather hypocritical to suggest people who watch porn are upstanding members of society, but people who star in it…",19
19,Sat Jun 09 11:47:17 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",20
20,Sat Jun 09 11:47:15 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",21
21,Sat Jun 09 11:47:12 +0000 2018,@BBC,0.0,0.0,1.0,0.0,@welt @ZDF @WDR @BBC @nytimes @CNN @lemonde_fr @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet… https://t.co/LrSdm7tAwC,22
22,Sat Jun 09 11:47:12 +0000 2018,@BBC,0.6705,0.193,0.807,0.0,RT @martycon73: New poll out this morning for the @bbc shows support for a United Ireland 'neck and neck'. So a lot closer than the DUP and…,23
23,Sat Jun 09 11:47:06 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,24
24,Sat Jun 09 11:47:01 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 😆 @Channing Tatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",25
25,Sat Jun 09 11:46:57 +0000 2018,@BBC,0.6705,0.193,0.807,0.0,RT @martycon73: New poll out this morning for the @bbc shows support for a United Ireland 'neck and neck'. So a lot closer than the DUP and…,26
26,Sat Jun 09 11:46:14 +0000 2018,@BBC,-0.3089,0.0,0.852,0.148,"RT @BBC: 'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",27
